objectid,region_name,countryside_name,parent_code,district_name,district_id,countryside_id,shape_Length,shape_Area
55,Andijon viloyati,Shifokor MFY,1703,Andijon shahar,1703401,1703401056,3353.5174981024,583407.8898130845
56,Andijon viloyati,Istiqlol MFY,1703,Andijon shahar,1703401,1703401039,2714.1404777968,316856.1328049641
57,Andijon viloyati,Z.M.Bobur MFY,1703,Andijon shahar,1703401,1703401062,3855.9056781508,622021.886854363
58,Andijon viloyati,Birlik MFY,1703,Andijon shahar,1703401,1703401061,2547.7039131556,320527.2972406886
59,Andijon viloyati,Xunarmand MFY,1703,Andijon shahar,1703401,1703401050,3630.6701414865,510616.1644059957
60,Andijon viloyati,Qalandarxona MFY,1703,Andijon shahar,1703401,1703401047,4761.2113602238,1155019.4854022642
61,Andijon viloyati,Yangi turmush MFY,1703,Andijon shahar,1703401,1703401038,3659.2357701764,671947.9849849776
62,Andijon viloyati,Kengash MFY,1703,Andijon shahar,1703401,1703401031,4181.7922986242,743852.2510699078
63,Andijon viloyati,Yaxshi MFY,1703,Andijon shahar,1703401,1703401057,12435.4827178575,2154294.788843675
64,Andijon viloyati,Uyg'urobod MFY,1703,Andijon shahar,1703401,1703401072,3011.1042532609,361433.7039864516
65,Andijon viloyati,Sholdirama (10-son) MFY,1703,Andijon shahar,1703401,1703401060,2422.523502913,274114.8898003825
66,Andijon viloyati,Navroʻz MFY,1703,Andijon shahar,1703401,1703401068,4652.3549028285,939931.9620986175
67,Andijon viloyati,Shodlik MFY,1703,Andijon shahar,1703401,1703401077,4740.1396484365,1082609.3071828757
68,Andijon viloyati,Qayragʻochtagi MFY,1703,Andijon shahar,1703401,1703401046,9066.1576958614,2048206.998376591
69,Andijon viloyati,Sog‘lom turmush MFY,1703,Andijon shahar,1703401,1703401055,3918.7833706205,465263.4367366346
70,Andijon viloyati,Buyuk Turon MFY,1703,Andijon shahar,1703401,1703401058,5953.3724592569,918740.2447432913
71,Andijon viloyati,Soy MFY,1703,Andijon shahar,1703401,1703401052,6254.9671064205,1781080.5431218985
72,Andijon viloyati,Nishobbo'yi MFY,1703,Xo'jaobod tumani,1703236,1703236023,14805.71283092,3870122.9752994687
73,Andijon viloyati,Mustaqillikning 27 yilligi MFY,1703,Xo'jaobod tumani,1703236,1703236038,13247.8294988568,4659682.98974559
74,Andijon viloyati,Mustaqillikning 30 yilligi MFY,1703,Xo'jaobod tumani,1703236,1703236039,4497.5435122397,693875.9135835838
75,Andijon viloyati,Ipakchi MFY,1703,Xo'jaobod tumani,1703236,1703236018,22286.8898930263,8324737.142728545
76,Andijon viloyati,Faqirqishloq MFY,1703,Xo'jaobod tumani,1703236,1703236027,22979.02257884,15232992.156495007
77,Andijon viloyati,To'raobod MFY,1703,Xo'jaobod tumani,1703236,1703236028,9861.9049356458,3816874.610199826
78,Andijon viloyati,Tosh ota MFY,1703,Xo'jaobod tumani,1703236,1703236009,52444.1861227889,64869117.44946582
79,Andijon viloyati,Xidirsha MFY,1703,Xo'jaobod tumani,1703236,1703236037,60756.0664646731,67863645.1702941
80,Andijon viloyati,Yangi Fargona MFY,1703,Xo'jaobod tumani,1703236,1703236029,11380.7250485148,3535207.1358272755
81,Andijon viloyati,Dilkushod MFY,1703,Xo'jaobod tumani,1703236,1703236024,11088.6963528403,3426415.6676831357
82,Andijon viloyati,Quvvatmurod MFY,1703,Xo'jaobod tumani,1703236,1703236026,8258.3157749201,3017302.999293517
83,Andijon viloyati,Yetmishmergan MFY,1703,Xo'jaobod tumani,1703236,1703236012,12234.1069769349,5194870.559770984
84,Andijon viloyati,Qurama MFY,1703,Xo'jaobod tumani,1703236,1703236034,12932.4955873144,7775298.2459300775
85,Andijon viloyati,Gara guri MFY,1703,Xo'jaobod tumani,1703236,1703236013,10895.8964509804,4326834.207506899
86,Andijon viloyati,Qorabuloq MFY,1703,Xo'jaobod tumani,1703236,1703236015,18129.0548633394,8249364.405628676
