uuid,name,parentid,soatoid,extid,ovirid
355b76b4-72cf-4987-9451-e0089636940f,Алмазарский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:08:00,124,1012
9b84361a-9ef2-4dfe-a92b-81e8bf3c6fe6,Бектемирский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:11:00,42,1011
91a39eff-4da6-46c1-a87f-b8b6dee93edf,Мирабадский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:11:00,109,1009
fbcddd5b-24d8-477e-a632-2b1565a8f84d,Мирзо-Улугбекский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:11:00,107,1003
f2f6b40b-096d-4712-be06-e003cb4b0d2c,Сергелийский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:06:00,145,1008
3f28ed5d-54f0-459c-98f2-647d59c99eb7,Учтепинский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:01:00,168,1001
e6dc0e3e-d3d8-45bc-9b8a-27e44d201f30,Чиланзарский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:03:00,179,1007
3fef5d77-22f6-42ec-b0a9-57cc17849556,Шайхантахурский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:10:00,185,1006
3d253583-f088-42f3-8544-e9beb4d706a0,Юнусабадский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:11:00,196,1010
a2b6a3d4-9b31-4391-a64a-4d94c2f7049c,Яккасарайский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:11:00,198,1005
a8b05747-e559-4505-ba50-b25de0a3a001,Яшнабадский район,22af9341-ddad-48cb-b1a8-4e809f0de311,10:11:00,204,7390001080
dde7e465-f9a8-46a4-860c-0a85d1e9c52f,Аккурганский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,122,1106
5d4895b1-87ef-4d96-8354-4b74b7785237,Ахангаранский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,129,1110
c3443ced-b63e-4d1a-8156-f1a93d2492ad,Бекабадский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,41,1111
7ee99479-602e-49eb-b08a-21454a6bbe32,Бостанлыкский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,54,1112
0edd3090-286b-447e-8e75-189d1401f966,Букинский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,50,1113
a5fc99b3-16e5-4e60-8240-f5bff529fdb3,Город Алмалык,b7c00816-aeaa-4427-becf-d16fcd6c67ed,11:18:00,22,1118
8dc90479-ab95-40f3-87c9-dbf8a3288eb4,Город Ангрен,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,19,1116
102129ad-d8c9-4ca4-8ec9-c2e35c099c01,Город Ахангаран,b7c00816-aeaa-4427-becf-d16fcd6c67ed,11:19:00,23,739001121
e1988588-5361-41d9-b283-08c14537adea,Город Бекабад,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,20,1214
e97eb8c4-9172-40b5-af85-d2f72e6dd295,Город Нурафшан,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,21,739001120
cd9e404d-1b94-4c80-b633-1c0e04dfbd81,Город Чирчик,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,24,1120
6f2e94a0-7fe5-49b1-bd46-dd149d784b64,Город Янгиюль,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,25,1122
db14aeee-6061-415f-ad23-834daad4854e,Зангиатинский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,71,1102
097c3c6c-23b0-44b7-960b-6fd0c0ff9fc6,Кибрайский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,88,1108
f3a2d9be-a112-49af-a974-c1c2ed78dd30,Куйичирчикский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,96,1107
16f8c799-3110-486d-b23c-505d4c3336f9,Паркентский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,131,1104
1f21771e-080c-4c3c-a3d0-1e4d2bc69350,Пскентский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,137,1103
a876eb01-6f3d-4c41-b493-fcb08fa70437,Ташкентский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,153,1109
18c7abbc-6f5f-44a9-9efa-c9b717af121a,Уртачирчикский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,10:11:00,164,1105
f12b585c-a71f-4f8b-98ae-d95c3472b1a3,Чиназский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,11:13:00,181,1115
f65aadb0-c033-4a73-8973-409b00e84d8e,Юкоричирчикский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,11:14:00,195,1114
96d6e009-3778-44e2-8012-5f51aed78884,Янгиюльский район,b7c00816-aeaa-4427-becf-d16fcd6c67ed,11:15:00,201,1101
5fb8eafc-3007-4d7a-930e-f8a963dca74b,Акалтынский район,35f5f075-5766-414c-8d81-ca88faa099af,12:04:00,123,1207
731d1438-1331-4126-9064-b2c4f7a7c8ba,Баяутский район,35f5f075-5766-414c-8d81-ca88faa099af,10:11:00,46,1203
68f80815-50c3-4b83-b7e8-83db3475c088,Город Гулистан,35f5f075-5766-414c-8d81-ca88faa099af,10:11:00,15,1210
58ed5982-1be4-4007-9844-c4657572b396,Город Ширин,35f5f075-5766-414c-8d81-ca88faa099af,10:11:00,16,1212
ed0ca5d6-2e13-4691-bded-f96cc1e8ed52,Город Янгиер,35f5f075-5766-414c-8d81-ca88faa099af,10:11:00,17,1213
53ce6821-86b9-47ac-9ac2-ca058be6413e,Гулистанский район,35f5f075-5766-414c-8d81-ca88faa099af,10:11:00,60,1202
72dbf28d-4b14-4ade-849e-3b120528e247,Мирзаабадский район ,35f5f075-5766-414c-8d81-ca88faa099af,12:03:00,105,1206
95af732a-679c-4761-b382-486c020c0af8,Сайхунабадский район,35f5f075-5766-414c-8d81-ca88faa099af,12:06:00,141,1201
1f36f56e-6c19-478a-8a0b-f34f357ca938,Сардобинский район,35f5f075-5766-414c-8d81-ca88faa099af,12:05:00,143,1215
0e137bea-80f3-4e2f-89a3-660ea973a762,Сырдарьинский район,35f5f075-5766-414c-8d81-ca88faa099af,12:07:00,146,1209
79463f0f-226a-439a-a2ea-6f604aaf2ed4,Хавастский район,35f5f075-5766-414c-8d81-ca88faa099af,12:08:00,174,1205
d4019b5d-f669-4cc8-860b-fce24cac0540,Арнасайский район,e1e75f54-0d2d-42d4-993d-0f69c64b8d15,13:01:00,35,1310
c570124f-9888-4d13-a71a-54d12c6c2e63,Бахмальский район,e1e75f54-0d2d-42d4-993d-0f69c64b8d15,13:02:00,40,1307
337f883e-bffa-4cbc-9bfc-2a8cc67bb657,Галляаральский район,e1e75f54-0d2d-42d4-993d-0f69c64b8d15,13:03:00,57,1306
0bfb2e77-26aa-4ae3-b595-b4417f1b606f,Город Джизак,e1e75f54-0d2d-42d4-993d-0f69c64b8d15,13:13:00,5,1314
605219d2-500b-4509-adf5-7da65ac57f00,Дустликский район,e1e75f54-0d2d-42d4-993d-0f69c64b8d15,13:05:00,65,1302
