objectid,region_name,countryside_name,parent_code,district_name,district_id,countryside_id_main,shape_Length,shape_Area,name_standardized_main,tin,name,countryside_id_new,sector,name_standardized_new,name_match
32,Andijon viloyati,Bog‘ishamol MFY,1703,Andijon shahar,1703401,1703401003.0,18123.1747534961,9001871.02177362,bogishamol mfy,202756033.0,BOGʻI-SHAMOL,1266.0,1.0,bogishamol,bogishamol mfy
33,Andijon viloyati,Buyuk Ipak yo'li MFY,1703,Andijon shahar,1703401,1703401004.0,7989.4167323132,3231696.0113186794,buyuk ipak yoli mfy,206847415.0,BUYUK IPAK YOʻLI,1267.0,1.0,buyuk ipak yoli,buyuk ipak yoli mfy
34,Andijon viloyati,Mirpo'stin MFY,1703,Andijon shahar,1703401,1703401033.0,13010.249932413,3089979.8715165,mirpostin mfy,202671948.0,MIRPOʻSTIN,1295.0,2.0,mirpostin,mirpostin mfy
35,Andijon viloyati,Sadda MFY,1703,Andijon shahar,1703401,1703401082.0,4852.4064180109,936631.9290849552,sadda mfy,,,,,,
36,Andijon viloyati,Obod MFY,1703,Andijon shahar,1703401,1703401051.0,9087.8185154556,3304942.094077862,obod mfy,,,,,,
37,Andijon viloyati,Sarvontepa MFY,1703,Andijon shahar,1703401,1703401079.0,6222.9525643037,1166850.9739768575,sarvontepa mfy,305003008.0,SARVONTEPA,1337.0,4.0,sarvontepa,sarvontepa mfy
38,Andijon viloyati,Al-Buxoriy MFY,1703,Andijon shahar,1703401,1703401021.0,4399.1657835628,760257.2579934628,albuhoriy mfy,204810068.0,AL-BUHORIY,1282.0,2.0,albuhoriy,albuhoriy mfy
39,Andijon viloyati,Ozodlik MFY,1703,Andijon shahar,1703401,1703401070.0,4860.1097745972,1154806.979550342,ozodlik mfy,,,,,,
40,Andijon viloyati,Namuna MFY,1703,Andijon shahar,1703401,1703401069.0,2502.4697641821,322785.6094968707,namuna mfy,,,,,,
41,Andijon viloyati,Xo‘tanariq MFY,1703,Andijon shahar,1703401,1703401075.0,3507.5837356936,594679.2484530596,hotanariq mfy,202733458.0,HOʻTAN-ARIQ,1343.0,4.0,hotanariq,hotanariq mfy
42,Andijon viloyati,Gʻayrat MFY,1703,Andijon shahar,1703401,1703401042.0,4441.3564167816,668397.7710515363,gayrat mfy,,,,,,
43,Andijon viloyati,Xamdoʻstlik MFY,1703,Andijon shahar,1703401,1703401065.0,4585.357602172,833650.2732973205,hamdostlik mfy,202589161.0,XAMDO'STLIK,1341.0,4.0,hamdostlik,hamdostlik mfy
